Date,Close,Returns,1to1,Running Total(1),1to2,Running Total(2),1to4,Running Total(4),1to8,Running Total(8),1to16,Running Total(16),1to32,Running Total(32)
12/26/62,63.02,0.006227048,0.005901198,-0.351766708,0.005939215,-0.475737778,0.005774107,0.062678021,0.005789685,0.073489195,0.005914771,0.160299009,0.006082953,0.110685448
12/24/62,62.63,-0.000159642,-0.000485492,-0.3522522,-0.000447475,-0.476185253,-0.000612583,0.062065438,-0.000597005,0.07289219,-0.000471919,0.15982709,-0.000303737,0.110381711
12/21/62,62.64,-0.00286533,-0.003191179,-0.355443379,-0.003153163,-0.479338416,-0.00331827,0.058747168,-0.003302692,0.069589498,-0.003177606,0.156649484,-0.003009424,0.107372286
12/20/62,62.82,0.003835091,0.003509242,-0.351934137,0.003547258,-0.475791158,0.00338215,0.062129318,0.003397729,0.072987226,0.003522815,0.160172299,0.003690996,0.111063283
12/19/62,62.58,0.00821653,0.00789068,-0.344043457,0.007928697,-0.467862461,0.007763589,0.069892907,0.007779167,0.080766393,0.007904253,0.168076552,0.008072435,0.119135718
12/18/62,62.07,-0.004810005,-0.005135854,-0.349179311,-0.005097838,-0.472960299,-0.005262945,0.064629962,-0.005247367,0.075519026,-0.005122281,0.162954271,-0.0049541,0.114181618
12/17/62,62.37,-0.00319642,-0.003522269,-0.35270158,-0.003484253,-0.476444552,-0.003649361,0.060980601,-0.003633783,0.071885243,-0.003508696,0.159445575,-0.003340515,0.110841103
12/14/62,62.57,0.002403076,0.002077227,-0.350624353,0.002115243,-0.474329309,0.001950135,0.062930737,0.001965713,0.073850957,0.0020908,0.161536375,0.002258981,0.113100084
12/13/62,62.42,-0.003353026,-0.003678875,-0.354303228,-0.003640859,-0.477970168,-0.003805966,0.05912477,-0.003790388,0.070060569,-0.003665302,0.157871072,-0.00349712,0.109602964
12/12/62,62.63,0.004974326,0.004648477,-0.349654752,0.004686493,-0.473283675,0.004521385,0.063646156,0.004536964,0.074597532,0.00466205,0.162533122,0.004830231,0.114433195
12/11/62,62.32,0.000802955,0.000477106,-0.349177646,0.000515122,-0.472768553,0.000350014,0.06399617,0.000365592,0.074963124,0.000490679,0.163023801,0.00065886,0.115092055
12/10/62,62.27,-0.012527751,-0.012853601,-0.362031247,-0.012815584,-0.485584137,-0.012980692,0.051015478,-0.012965114,0.061998011,-0.012840028,0.150183773,-0.012671846,0.102420209
12/7/62,63.06,0.002065787,0.001739938,-0.360291308,0.001777954,-0.483806183,0.001612847,0.052628325,0.001628425,0.063626435,0.001753511,0.151937284,0.001921693,0.104341902
12/6/62,62.93,0.008655233,0.008329384,-0.351961925,0.0083674,-0.475438783,0.008202293,0.060830618,0.008217871,0.071844306,0.008342957,0.160280241,0.008511138,0.11285304
12/5/62,62.39,-0.00399106,-0.004316909,-0.356278834,-0.004278893,-0.479717676,-0.004444001,0.056386617,-0.004428423,0.067415884,-0.004303336,0.155976905,-0.004135155,0.108717885
12/4/62,62.64,0.011301259,0.01097541,-0.345303424,0.011013426,-0.46870425,0.010848319,0.067234936,0.010863897,0.07827978,0.010988983,0.166965888,0.011157164,0.11987505
